0 1 2 
1 2 3 
4 5 6 
4 5 7 
2 3 4 
3 4 7 
3 7 8 
9 10 11 
9 10 12 
9 13 11 
5 6 9 
6 9 13 
9 14 12 
5 7 9 
7 9 14 
14 12 15 
12 15 16 
7 14 15 
7 8 15 
17 18 19 
13 11 17 
11 17 18 
6 13 17 
10 11 20 
10 12 20 
21 22 23 
12 20 21 
20 21 23 
12 16 21 
24 25 26 
24 25 27 
24 28 26 
18 19 24 
19 24 28 
11 20 24 
20 24 27 
11 18 24 
20 27 29 
20 23 29 
30 31 32 
28 26 30 
26 30 31 
19 28 30 
22 23 33 
25 26 34 
25 27 34 
35 36 37 
35 36 38 
27 34 35 
34 35 37 
27 29 35 
23 33 35 
33 35 38 
23 29 35 
33 38 39 
31 32 40 
26 34 41 
26 31 41 
31 41 40 
34 41 42 
41 42 43 
34 37 42 
41 40 43 
44 45 46 
44 45 47 
32 40 44 
40 44 47 
40 47 48 
40 43 48 
36 37 49 
36 38 49 
38 49 50 
38 39 50 
39 50 51 
42 43 52 
37 49 53 
37 42 53 
42 53 52 
49 53 54 
53 54 55 
49 50 54 
50 54 56 
53 52 55 
50 51 56 
51 56 57 
45 46 58 
45 47 58 
47 58 59 
47 48 59 
48 59 60 
43 52 61 
43 48 61 
48 61 60 
52 61 62 
61 62 63 
52 55 62 
61 60 63 
46 58 64 
58 64 65 
58 59 65 
59 60 65 
60 65 66 
60 66 67 
66 67 68 
60 63 67 
